iso3,gid_id,pop_est,income_group,continent,area_km2,total_pop,, total_vul_pop ,,
CHN,CHN.31.2_1,1495622.925,UMC,Asia,2282.64416,3249504.133,,,,
CHN,CHN.31.3_1,1704772.634,UMC,Asia,1772.138596,5812236.208,,,,
CHN,CHN.31.6_1,4366925.736,UMC,Asia,2584.329539,9567144.826,,,,
CHN,CHN.31.8_1,1058315.257,UMC,Asia,766.9347734,5660701.999,,,,
CHN,CHN.31.9_1,1662339.834,UMC,Asia,1237.676503,6183491.265,,,,
CHN,CHN.31.10_1,2028890.277,UMC,Asia,930.4864102,10808674.24,,,,
CIV,CIV.2_1,2303.145753,LMC,Africa,31.30844732,2691363.94,," 2,530.39 ",,
CIV,CIV.3_1,192.5686705,LMC,Africa,0.514946251,1407541.811,,,,
CIV,CIV.7_1,34.67440821,LMC,Africa,0.727241931,1635057.335,,,,
CMR,CMR.5_1,118541.1484,LMC,Africa,131.2018116,4497505.815,," 189,840.00 ",,
CMR,CMR.10_1,169.1586101,LMC,Africa,5.932374038,993401.4195,,,,
CMR,CMR.9_1,71129.69099,LMC,Africa,821.3973978,2043823.435,,,,
COD,COD.11_1,2270.915002,LIC,Africa,46.6435822,3049012.646,," 2,270.92 ",,
COG,COG.5_1,116.9304444,LMC,Africa,4.725970023,427232.0273,, 116.93 ,,
COL,COL.2_1,736.5789395,UMC,South America,16.69544511,7939463.57,," 196,893.76 ",,
COL,COL.4_1,8666.77708,UMC,South America,182.7241576,3287882.861,,,,
COL,COL.5_1,20720.3042,UMC,South America,37.46754777,3148365.015,,,,
COL,COL.10_1,6801.605731,UMC,South America,279.470673,1891511.61,,,,
COL,COL.12_1,1406.092766,UMC,South America,119.8678399,641125.9437,,,,
COL,COL.13_1,185.0781076,UMC,South America,5.063618855,2536866.279,,,,
COL,COL.18_1,33576.29178,UMC,South America,268.9572354,1507689.37,,,,
COL,COL.19_1,239.9848832,UMC,South America,9.563472479,1644825.112,,,,
COL,COL.21_1,79862.69973,UMC,South America,2065.4581,2181617.01,,,,
COL,COL.28_1,34.42662825,UMC,South America,0.492283594,1071136.452,,,,
COL,COL.30_1,44663.92292,UMC,South America,178.3179656,5572910.665,,,,
CRI,CRI.3_1,295.6124263,UMC,North America,26.26024928,394425.5521,," 2,116.59 ",,
CRI,CRI.5_1,115.5996442,UMC,North America,7.456547275,435452.6437,,,,
CRI,CRI.6_1,1705.376532,UMC,North America,76.05665106,465773.682,,,,
CUB,CUB.1_1,7876.110004,UMC,North America,1055.772826,762687.4145,," 24,708.86 ",,
CUB,CUB.2_1,4079.529036,UMC,North America,475.6492821,439692.0853,,,,
CUB,CUB.5_1,1070.342552,UMC,North America,41.27049902,843721.6952,,,,
CUB,CUB.7_1,125.0583077,UMC,North America,8.007386474,1046073.309,,,,
CUB,CUB.8_1,636.4401517,UMC,North America,52.24724086,81551.2663,,,,
